TYPE;CODE;NAME;SHEETS
TRACT;13121009501;95.01;3
TRACT;13121009502;95.02;1,3
TRACT;13121009601;96.01;1,3
TRACT;13121009602;96.02;1,3
TRACT;13121009603;96.03;3
TRACT;13121009700;97;1,3
TRACT;13121009801;98.01;1,3
TRACT;13121009802;98.02;1
TRACT;13121009900;99;1,3
TRACT;13121010001;100.01;1,3
TRACT;13121010002;100.02;1
TRACT;13121010106;101.06;1
TRACT;13121010107;101.07;1
TRACT;13121010108;101.08;1
TRACT;13121010110;101.10;1
TRACT;13121010113;101.13;1
TRACT;13121010114;101.14;1
TRACT;13121010115;101.15;1
TRACT;13121010117;101.17;1
TRACT;13121010118;101.18;1
TRACT;13121010119;101.19;1
TRACT;13121010120;101.20;1
TRACT;13121010121;101.21;1
TRACT;13121010122;101.22;1
TRACT;13121010123;101.23;1
TRACT;13121010204;102.04;1
TRACT;13121010205;102.05;1
TRACT;13121010206;102.06;1
TRACT;13121010208;102.08;1
TRACT;13121010209;102.09;1
TRACT;13121010210;102.10;1
TRACT;13121010211;102.11;1
TRACT;13121010212;102.12;1
TRACT;13121010301;103.01;2
TRACT;13121010303;103.03;2
TRACT;13121010304;103.04;2
TRACT;13121010400;104;2
TRACT;13121010507;105.07;2,3
TRACT;13121010508;105.08;2,3
TRACT;13121010510;105.10;2
TRACT;13121010511;105.11;2
TRACT;13121010512;105.12;2
TRACT;13121010513;105.13;2
TRACT;13121010514;105.14;2
TRACT;13121010515;105.15;2,3
TRACT;13121010516;105.16;2,3
TRACT;13121010601;106.01;3
TRACT;13121010603;106.03;2,3
TRACT;13121010604;106.04;2,3
TRACT;13121010800;108;3
TRACT;13121011000;110;3
TRACT;13121011100;111;3
TRACT;13121011201;112.01;3
TRACT;13121011202;112.02;3
TRACT;13121011301;113.01;2,3
TRACT;13121011303;113.03;2,3
TRACT;13121011305;113.05;2
TRACT;13121011306;113.06;2
TRACT;13121011405;114.05;1
TRACT;13121011410;114.10;1
TRACT;13121011411;114.11;1
TRACT;13121011412;114.12;1
TRACT;13121011414;114.14;1
TRACT;13121011416;114.16;1
TRACT;13121011417;114.17;1
TRACT;13121011418;114.18;1
TRACT;13121011419;114.19;1
TRACT;13121011420;114.20;1
TRACT;13121011421;114.21;1
TRACT;13121011422;114.22;1
TRACT;13121011423;114.23;1
TRACT;13121011424;114.24;1
TRACT;13121011425;114.25;1
TRACT;13121011426;114.26;1
TRACT;13121011427;114.27;1
TRACT;13121011503;115.03;1
TRACT;13121011504;115.04;1
TRACT;13121011505;115.05;1
TRACT;13121011506;115.06;1
TRACT;13121011610;116.10;1
TRACT;13121011611;116.11;1
TRACT;13121011612;116.12;1
TRACT;13121011613;116.13;1
TRACT;13121011614;116.14;1
TRACT;13121011615;116.15;1
TRACT;13121011616;116.16;1
TRACT;13121011617;116.17;1
TRACT;13121011618;116.18;1
TRACT;13121011619;116.19;1
TRACT;13121011620;116.20;1
TRACT;13121011621;116.21;1
TRACT;13121011622;116.22;1
TRACT;13121011623;116.23;1
TRACT;13121011624;116.24;1
TRACT;13121011625;116.25;1
TRACT;13121011626;116.26;1
TRACT;13121011800;118;3
TRACT;13121011900;119;3
TRACT;13121012000;120;3
TRACT;13121012300;123;3
TRACT;13121980000;9800;3
