TYPE;CODE;NAME;SHEETS
TRACT;13121000100;1;3
TRACT;13121000200;2;3
TRACT;13121000400;4;3
TRACT;13121000500;5;3
TRACT;13121000600;6;3
TRACT;13121000700;7;3
TRACT;13121001001;10.01;3
TRACT;13121001002;10.02;3
TRACT;13121001100;11;3
TRACT;13121001201;12.01;3
TRACT;13121001202;12.02;3
TRACT;13121001300;13;3
TRACT;13121001400;14;3
TRACT;13121001500;15;3
TRACT;13121001600;16;3
TRACT;13121001700;17;3
TRACT;13121001800;18;3
TRACT;13121001900;19;3
TRACT;13121002100;21;3
TRACT;13121002300;23;3
TRACT;13121002400;24;3
TRACT;13121002500;25;3
TRACT;13121002600;26;3
TRACT;13121002800;28;3
TRACT;13121002900;29;3
TRACT;13121003000;30;3
TRACT;13121003100;31;3
TRACT;13121003200;32;3
TRACT;13121003500;35;3
TRACT;13121003600;36;3
TRACT;13121003700;37;3
TRACT;13121003800;38;3
TRACT;13121003900;39;3
TRACT;13121004000;40;3
TRACT;13121004100;41;3
TRACT;13121004200;42;3
TRACT;13121004300;43;3
TRACT;13121004400;44;3
TRACT;13121004800;48;3
TRACT;13121004900;49;3
TRACT;13121005000;50;3
TRACT;13121005200;52;3
TRACT;13121005300;53;3
TRACT;13121005501;55.01;3
TRACT;13121005502;55.02;3
TRACT;13121005700;57;3
TRACT;13121005800;58;3
TRACT;13121006000;60;3
TRACT;13121006100;61;3
TRACT;13121006200;62;3
TRACT;13121006300;63;3
TRACT;13121006400;64;3
TRACT;13121006500;65;3
TRACT;13121006601;66.01;3
TRACT;13121006602;66.02;3
TRACT;13121006700;67;3
TRACT;13121006801;68.01;3
TRACT;13121006802;68.02;3
TRACT;13121006900;69;3
TRACT;13121007001;70.01;3
TRACT;13121007002;70.02;3
TRACT;13121007100;71;3
TRACT;13121007200;72;3
TRACT;13121007300;73;3
TRACT;13121007400;74;3
TRACT;13121007500;75;3
TRACT;13121007602;76.02;2,3
TRACT;13121007603;76.03;3
TRACT;13121007604;76.04;2,3
TRACT;13121007703;77.03;2
TRACT;13121007704;77.04;2,3
TRACT;13121007705;77.05;2
TRACT;13121007706;77.06;2
TRACT;13121007802;78.02;2
TRACT;13121007805;78.05;2
TRACT;13121007806;78.06;2
TRACT;13121007807;78.07;2
TRACT;13121007808;78.08;2
TRACT;13121007900;79;2,3
TRACT;13121008000;80;2,3
TRACT;13121008101;81.01;3
TRACT;13121008102;81.02;2,3
TRACT;13121008201;82.01;2,3
TRACT;13121008202;82.02;2
TRACT;13121008301;83.01;3
TRACT;13121008302;83.02;3
TRACT;13121008400;84;3
TRACT;13121008500;85;3
TRACT;13121008601;86.01;2,3
TRACT;13121008602;86.02;2,3
TRACT;13121008700;87;2,3
TRACT;13121008800;88;2,3
TRACT;13121008902;89.02;3
TRACT;13121008903;89.03;3
TRACT;13121008904;89.04;3
TRACT;13121009000;90;3
TRACT;13121009101;91.01;3
TRACT;13121009102;91.02;3
TRACT;13121009200;92;3
TRACT;13121009300;93;3
TRACT;13121009402;94.02;3
TRACT;13121009403;94.03;3
TRACT;13121009404;94.04;1,3
