"agecat","stdcount","stdpop"
"Age0-4",346,367087
"Age10-14",33,405613
"Age15-17",68,260536
"Age18-19",66,202220
"Age20-24",282,475668
"Age25-29",300,441525
"Age30-34",321,403616
"Age35-44",1119,887149
"Age45-54",3086,1012435
"Age5-9",27,385687
"Age55-64",5430,803369
